Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
"Lifestar Emergency Medical Service, Llc",Washington,Paramedic with Critical Care Endorsement,911 Transporting Service,West Bend,Region 7,,911 Transporting Service,262-335-9950,mkrueger@lifestar-ems.com,43.420368,-88.199183
West Bend (City Of) Fire Department,Washington,Paramedic,911 Transporting Service,West Bend,Region 7,,911 Transporting Service,262-335-5054,benidtm@westbendwi.gov,43.426406,-88.186081
Newburg Fire Department Ambulance,Washington,Emergency Medical Technician (EMT),911 Transporting Service,Newburg,Region 7,,911 Transporting Service,262-675-6262,ems@newburgfirerescue.com,43.432852839,-88.046066832
Fredonia Fire Department Ambulance,Ozaukee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Fredonia,Region 7,,911 Transporting Service,262-692-9973,depchiefems673@fredoniawi.gov,43.468694,-87.950922
Kohlsville Volunteer Fire Company,Washington,Emergency Medical Responder (EMR),911 Non-Transporting Service,West Bend,Region 7,,911 Non-Transporting Service,262-629-5931,kohlsvillefd@gmail.com,43.469956,-88.321648
"Waubeka Fire Department, Inc.",Ozaukee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Waubeka,Region 7,,911 Transporting Service,262-692-2656,ems@waubekafd.com,43.473247,-87.996309
Fillmore Fire Department,Washington,Emergency Medical Responder (EMR),911 Non-Transporting Service,West Bend,Region 7,,911 Non-Transporting Service,262-692-2361,fillmorefd@nconnect.net,43.497898,-88.071085
Belgium Rescue Squad First Responders,Ozaukee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Belgium,Region 7,,911 Non-Transporting Service,262-285-3257,emscaptain@belgiumfd.com,43.501642,-87.852326
Kewaskum Fire Department,Washington,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kewaskum,Region 7,,911 Non-Transporting Service,262-626-6731,jwarnkey@kewaskumwi.gov,43.517448,-88.226072
Boltonville Volunteer Fire Department,Washington,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kewaskum,Region 7,,911 Non-Transporting Service,262-692-2231,boltonvillefd@gmail.com,43.528337,-88.099157
Random Lake Fire Department Ambulance,Sheboygan,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Random Lake,Region 7,,911 Transporting Service,920-946-1848,assistemschief@randomlakewi.com,43.555745,-87.969306
Cedar Grove Fire Department First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cedar Grove,Region 7,,911 Non-Transporting Service,920-668-6415,cgfiredept@wi.rr.com,43.568575,-87.820185
Scott (Town Of) Emergency Medical Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Adell,Region 7,,911 Non-Transporting Service,920-994-4470,tmreysen@hotmail.com,43.586347,-88.100313
Campbellsport Volunteer Fire Department,Fond du Lac,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Campbellsport,Region 7,,911 Transporting Service,920-533-5266,info@campbellsportfire.com,43.598196,-88.271895
Adell First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Adell,Region 7,,911 Non-Transporting Service,920-838-4326,caseihman@gmail.com,43.619125116,-87.950618414
Oostburg Emergency Medical Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oostburg,Region 7,,911 Non-Transporting Service,920-698-0868,captain@oostburgemr.org,43.622191,-87.80236
Waupun Fire & Rescue Department,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Waupun,Region 7,,911 Non-Transporting Service,920-324-7910,bjdemaa@waupunpd.org,43.633312,-88.734186
Cascade First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cascade,Region 7,,911 Non-Transporting Service,920-838-3969,Cascaderec@hotmail.com,43.661327665,-88.000491716
Aldrich Chemical Company First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheboygan Falls,Region 7,,911 Non-Transporting Service,920-234-3258,brenda.blaser@milliporesigma.com,43.673892,-87.78158
Oakfield Emergency Medical Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oakfield,Region 7,,911 Non-Transporting Service,920-583-2511,Oakfieldemslt@gmail.com,43.683557,-88.547158
Wilson (Town Of) First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheboygan,Region 7,,911 Non-Transporting Service,920-458-6763,72shelleyh@gmail.com,43.686543,-87.751907
Eden Fire Department First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eden,Region 7,,911 Non-Transporting Service,920-477-3131,edenfire@villageofeden.com,43.692154,-88.356819
Sheboygan Falls (City Of) Fire Department First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheboygan Falls,Region 7,,911 Non-Transporting Service,920-467-7914,amandasmyszewski@gmail.com,43.729423,-87.81323
"Orange Cross Ambulance, Inc.",Sheboygan,Paramedic with Critical Care Endorsement,911 Transporting Service,Sheboygan,Region 7,,911 Transporting Service,920-694-0347,info@orangecross.org,43.729693,-87.731988
Brandon-Fairwater First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Brandon,Region 7,,911 Non-Transporting Service,920-904-7729,brandonfairwaterEMR@gmail.com,43.732246,-88.776036
Lamartine Fire Department First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oakfield,Region 7,,911 Non-Transporting Service,608-444-5738,EMRcoordinator@townoflamartinewi.gov,43.732642,-88.565372
Kohler (Village Of) Emergency Medical Service,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kohler,Region 7,,911 Non-Transporting Service,920-459-3877,cgross@kohlerpolice.com,43.738023,-87.780284
Sheboygan Falls (Town Of) First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheboygan Falls,Region 7,,911 Non-Transporting Service,920-467-4876,tffd@tffd.org,43.739208,-87.850448
Plymouth Volunteer Fire Department Ambulance Squad,Sheboygan,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Plymouth,Region 7,,911 Transporting Service,920-893-1331,jason.mccoy@sargento.com,43.748566,-87.979252
Fond Du Lac (Town Of) Emergency Medical Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fond du Lac,Region 7,,911 Non-Transporting Service,920-948-5568,tfdlfrc@gmail.com,43.7546,-88.4618
Fond Du Lac (City Of) Fire/Rescue Department,Fond du Lac,Paramedic,911 Transporting Service,Fond du Lac,Region 7,,911 Transporting Service,920-322-3839,aaird@fdl.wi.gov,43.756253,-88.448302
Sheboygan (City Of) Fire Department,Sheboygan,Paramedic with Critical Care Endorsement,911 Transporting Service,Sheboygan,Region 7,,911 Transporting Service,920-459-3327,Michael.lubbert@sheboyganwi.gov,43.759363,-87.739842
Sheboygan (Town Of) Fire Department,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheboygan,Region 7,,911 Non-Transporting Service,920-467-6800,andrew.perman@townofsheboygan.org,43.787007,-87.779862
Glenbeulah Fire Department First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Glenbeulah,Region 7,,911 Non-Transporting Service,920-838-6390,amulter@glenbeulahwi.gov,43.797683,-88.047827
North Fond Du Lac Fire & Ems Department,Fond du Lac,Paramedic,911 Transporting Service,North Fond du Lac,Region 7,,911 Transporting Service,920-322-6139,amoriarty@nfdl.org,43.807884,-88.479114
Rosendale Area First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rosendale Center,Region 7,,911 Non-Transporting Service,920-929-5352,dfmccoy@charter.net,43.807939,-88.670739
Saint Cloud First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saint Cloud,Region 7,,911 Non-Transporting Service,920-904-2564,Jeffhorn80@yahoo.com,43.822448382,-88.165598503
Howards Grove Fire Department First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Howards Grove (PO name Howards Grove-Millersville),Region 7,,911 Non-Transporting Service,920-565-3112,tyler.wuestenhagen@howardsgrovefd.com,43.823350832,-87.826441388
Mount Calvary Ambulance Service,Fond du Lac,Emergency Medical Technician (EMT),911 Transporting Service,Mount Calvary,Region 7,,911 Transporting Service,920-753-6086,michaelroehrig@hotmail.com,43.82617,-88.238081
Elkhart Lake First Responders,Sheboygan,Emergency Medical Responder (EMR),911 Non-Transporting Service,Elkhart Lake,Region 7,,911 Non-Transporting Service,920-876-2244,MMeeusen1@gmail.com,43.834052803,-88.013924985
Ripon Guardian Ambulance Service,Fond du Lac,Paramedic,911 Transporting Service,Ripon,Region 7,,911 Transporting Service,920-748-4904,mmatuszeski@cityofripon.com,43.846439,-88.838667
Eldorado First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eldorado,Region 7,,911 Non-Transporting Service,920-642-3131,eldoradowiemr@gmail.com,43.85098,-88.619102
Van Dyne Fire Department & First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Van Dyne,Region 7,,911 Non-Transporting Service,920-688-2293,vandynefire@gmail.com,43.886415,-88.502574
Calumet (Town Of) Fire Department First Responders,Fond du Lac,Emergency Medical Responder (EMR),911 Non-Transporting Service,Malone,Region 7,,911 Non-Transporting Service,920-795-4500,towncalumetemr@gmail.com,43.914028,-88.323801
,,,,,,,,,,43.9464,-89.7748
,,,,,,,,,,46.3491,-90.7366
,,,,,,,,,,45.4265,-91.8486
,,,,,,,,,,46.5601,-91.2402
,,,,,,,,,,44.4646,-87.9779
,,,,,,,,,,44.3147,-91.722
,,,,,,,,,,45.8994,-92.363
,,,,,,,,,,44.0612,-88.2235
,,,,,,,,,,45.0767,-91.2876
,,,,,,,,,,44.7321,-90.6192
,,,,,,,,,,43.4614,-89.3035
,,,,,,,,,,43.2104,-90.8849
,,,,,,,,,,43.073,-89.4247
,,,,,,,,,,43.413,-88.7032
,,,,,,,,,,44.9881,-87.267
,,,,,,,,,,46.4537,-91.9223
,,,,,,,,,,44.9461,-91.8932
,,,,,,,,,,44.7306,-91.286
,,,,,,,,,,45.8674,-88.3756
,,,,,,,,,,43.7377,-88.5229
,,,,,,,,,,45.729,-88.8616
,,,,,,,,,,42.8621,-90.7628
,,,,,,,,,,42.6775,-89.6024
,,,,,,,,,,43.8078,-89.0268
,,,,,,,,,,43.0094,-90.1334
,,,,,,,,,,46.287,-90.2401
,,,,,,,,,,44.3311,-90.7417
,,,,,,,,,,43.0217,-88.7768
,,,,,,,,,,43.9467,-90.1322
,,,,,,,,,,42.5814,-88.0586
,,,,,,,,,,44.5033,-87.6245
,,,,,,,,,,43.9075,-91.1276
,,,,,,,,,,42.6602,-90.1317
,,,,,,,,,,45.2517,-89.0523
,,,,,,,,,,45.3385,-89.7354
,,,,,,,,,,44.1103,-87.8415
,,,,,,,,,,44.8951,-89.7693
,,,,,,,,,,45.382,-88.1503
,,,,,,,,,,43.8129,-89.3981
,,,,,,,,,,44.9899,-88.7347
,,,,,,,,,,43.0178,-87.9818
,,,,,,,,,,43.9434,-90.6118
,,,,,,,,,,45.0268,-88.3037
,,,,,,,,,,45.6879,-89.5447
,,,,,,,,,,44.419,-88.4637
,,,,,,,,,,43.3679,-87.9585
,,,,,,,,,,44.5458,-92.0873
,,,,,,,,,,44.7034,-92.4259
,,,,,,,,,,45.4696,-92.4193
,,,,,,,,,,44.4745,-89.475
,,,,,,,,,,45.6691,-90.3605
,,,,,,,,,,42.7271,-88.0428
,,,,,,,,,,43.3664,-90.4289
,,,,,,,,,,42.6692,-89.072
,,,,,,,,,,45.4691,-91.1092
,,,,,,,,,,45.0351,-92.4543
,,,,,,,,,,43.3945,-89.8965
,,,,,,,,,,45.902,-91.1097
,,,,,,,,,,44.8071,-88.7375
,,,,,,,,,,43.715,-87.9328
,,,,,,,,,,45.2065,-90.4856
,,,,,,,,,,44.2856,-91.3478
,,,,,,,,,,43.5769,-90.7714
,,,,,,,,,,46.0789,-89.4371
,,,,,,,,,,42.6678,-88.5413
,,,,,,,,,,45.9017,-91.7871
,,,,,,,,,,43.3686,-88.2293
,,,,,,,,,,43.0181,-88.3044
,,,,,,,,,,44.4525,-88.9801
,,,,,,,,,,44.1173,-89.2418
,,,,,,,,,,44.0677,-88.6452
,,,,,,,,,,44.4689,-90.0212
